"","Jurisdiction","County","COG","cyc5_projection_start","cyc5_projection_end","cyc5_planning_start","cyc5_planning_end","cyc5_current_compliance","cyc5_conditional_compliance","cyc5_cc_due","cyc5_cc_cleared","cyc5_planning_period_duration","req_4year_update","emergency_shelter_zone","cyc4_rezone_program","cyc4_unit_shortfall","cyc4_rezone_acres","cyc4_rezone_complete","cyc5_rezone_program","cyc5_unit_shortfall","cyc5_rezone_acres","cyc5_rezone_complete","charter_city","apr2013","apr2014","apr2015","apr2016","apr2017","apr2018","compliance"
"211","JACKSON","Amador County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"212","JURUPA VALLEY","Riverside County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","Yes",1
"213","KERMAN","Fresno County","Council of Fresno County Governments",2013-01-01,2023-12-31,2015-12-31,2023-12-31,"in - conditional","Yes",2016-12-31,NA,"8 Year",NA,"Yes","Yes",168,8.4,"Partial-still needs 2.4 acres rezoned","No",NA,NA,NA,NA,"No","No","No","No","Yes","Yes",1
"214","KERN COUNTY","Kern County","KernCOG",2013-01-01,2023-12-31,2015-12-31,2023-12-31,"in - conditional","Yes",2016-12-31,NA,"8 Year",NA,"Yes","Yes",432,33.57,"TBD","Yes",2528,180.57,"TBD",NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"215","KING CITY","Monterey County","AMBAG",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","Yes","Yes","Yes","Yes",1
"216","KINGS COUNTY","Kings County","Kings County Association of Governments",2014-01-01,2023-12-31,2016-01-31,2024-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","No","No","No","Yes","Yes",1
"217","KINGSBURG","Fresno County","Council of Fresno County Governments",2013-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","No","No","Yes","No",1
"218","LA CANADA FLINTRIDGE","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"219","LA HABRA","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in","Yes",2014-10-15,2018-05-21,"8 Year",NA,"Yes","Yes",77,9.97,"Yes","No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"220","LA HABRA HEIGHTS","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"out (due)",NA,NA,NA,"8 year","Yes","Unknown","Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA,"No","No","No","No","No","Yes",0
"221","LA MESA","San Diego County","SANDAG",2010-01-01,2020-12-31,2013-04-30,2021-04-30,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"222","LA MIRADA","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","Yes","No",1
"223","LA PALMA","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"224","LA PUENTE","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"out (adopted)",NA,NA,NA,"8 year","Yes","Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","Yes",0
"225","LA QUINTA","Riverside County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","No","No","Yes","Yes",1
"226","LA VERNE","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","Yes",320,NA,"Yes","Yes",235,NA,"Yes",NA,"Yes","Yes","Yes","Yes","Yes","No",1
"227","LAFAYETTE","Contra Costa County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"228","LAGUNA BEACH","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes (Sufficient Capacity - No zoning required)","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"229","LAGUNA HILLS","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"230","LAGUNA NIGUEL","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"231","LAGUNA WOODS","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"232","LAKE COUNTY","Lake County","Lake County Areawide Planning Council",2014-01-01,2019-06-30,2014-06-30,2019-06-30,"out (adopted)",NA,NA,NA,"5 year",NA,"Yes","No",NA,NA,NA,"TBD",NA,NA,NA,NA,"No","No","No","No","No","Yes",0
"233","LAKE ELSINORE","Riverside County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"234","LAKE FOREST","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"235","LAKEPORT","Lake County","Lake County Areawide Planning Council",2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","No","No","No","Yes","No",1
"236","LAKEWOOD","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"237","LANCASTER","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","No","No","No","Yes",1
"238","LARKSPUR","Marin County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"239","LASSEN COUNTY","Lassen County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","No",1
"240","LATHROP","San Joaquin County","San Joaquin County Council of Governments ",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 year","Yes","Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","Yes","Yes","Yes",1
"241","LAWNDALE","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","No","Yes","Yes","Yes",1
"242","LEMON GROVE","San Diego County","SANDAG",2010-01-01,2020-12-31,2013-04-30,2021-04-30,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"243","LEMOORE","Kings County","Kings County Association of Governments",2014-01-01,2023-12-31,2016-01-31,2024-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","No","No","No","No",1
"244","LINCOLN","Placer County","SACOG",2013-01-01,2021-10-31,2013-10-31,2021-10-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","No",1
"245","LINDSAY","Tulare County","Tulare County Association of Governments",2014-01-01,2023-09-30,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 year","Yes","Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"246","LIVE OAK","Sutter County","SACOG",2013-01-01,2021-10-31,2013-10-31,2021-10-31,"in",NA,NA,NA,"8 year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"247","LIVERMORE","Alameda County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"248","LIVINGSTON","Merced County","Merced County Association of Governments",2014-01-01,2023-12-31,2016-03-31,2024-03-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","Yes","Yes","Yes",1
"249","LODI","San Joaquin County","San Joaquin County Council of Governments ",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","Yes","Yes",1
"250","LOMA LINDA","San Bernardino County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","No","No","No","Yes",1
"251","LOMITA","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"252","LOMPOC","Santa Barbara County","Santa Barbara Council of Governments",2014-01-01,2022-09-30,2015-02-15,2023-02-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"253","LONG BEACH","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"254","LOOMIS","Placer County","SACOG",2013-01-01,2021-10-31,2013-10-31,2021-10-31,"in","Yes",2014-10-31,2018-07-02,"8 Year",NA,"Yes","Yes",60,NA,"yes","Yes",66,NA,"Yes",NA,"No","No","No","No","Yes","Yes",1
"255","LOS ALAMITOS","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","No","No","No","Yes","Yes",1
"256","LOS ALTOS","Santa Clara County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in - conditional","Yes",2015-08-31,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"257","LOS ALTOS HILLS","Santa Clara County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","Yes","Yes",1
"258","LOS ANGELES","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"259","LOS ANGELES COUNTY","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"260","LOS BANOS","Merced County","Merced County Association of Governments",2014-01-01,2023-12-31,2016-03-31,2024-03-31,"in","Yes",2017-03-31,2019-04-02,"8 Year",NA,"Yes","Yes",81,4.9,"Yes","Yes",625,32,"Partial - 606 units remaining",NA,"No","No","No","Yes","Yes","Yes",1
"261","LOS GATOS","Santa Clara County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"Yes",270,13.5,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"262","LOYALTON","Sierra County","Sierra Planning Organization",2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","No",1
"263","LYNWOOD","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","Yes",1
"264","MADERA","Madera County","Madera County Transportation Commission",2014-01-01,2023-12-31,2016-01-31,2024-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"265","MADERA COUNTY","Madera County","Madera County Transportation Commission",2014-01-01,2023-12-31,2016-01-31,2024-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"266","MALIBU","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"267","MAMMOTH LAKES","Mono County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"268","MANHATTAN BEACH","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"269","MANTECA","San Joaquin County","San Joaquin County Council of Governments ",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","Yes",1
"270","MARICOPA","Kern County","KernCOG",2013-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 year","Yes","Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","No",1
"271","MARIN COUNTY","Marin County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"272","MARINA","Monterey County","AMBAG",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"out (adopted)",NA,NA,NA,"8 year","Yes","Yes","TBD",NA,NA,NA,"TBD",NA,NA,NA,"Yes","No","No","Yes","Yes","Yes","Yes",0
"273","MARIPOSA COUNTY","Mariposa County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"274","MARTINEZ","Contra Costa County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","No","No","Yes","Yes","Yes",1
"275","MARYSVILLE","Yuba County","SACOG",2013-01-01,2021-10-31,2013-10-31,2021-10-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","No","No","Yes","Yes",1
"276","MAYWOOD","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"out (adopted)",NA,NA,NA,"8 Year",NA,"No (Program)","Yes",8,NA,"No","Yes",21,NA,"No",NA,"No","No","No","No","No","No",0
"277","MCFARLAND","Kern County","KernCOG",2013-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"278","MENDOCINO COUNTY","Mendocino County","Mendocino Council of Governments ",2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","No","Yes","No","No","No",1
"279","MENDOTA","Fresno County","Council of Fresno County Governments",2013-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","No",1
"280","MENIFEE","Riverside County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"281","MENLO PARK","San Mateo County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"282","MERCED","Merced County","Merced County Association of Governments",2014-01-01,2023-12-31,2016-03-31,2024-03-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","No","No","Yes","Yes",1
"283","MERCED COUNTY","Merced County","Merced County Association of Governments",2014-01-01,2023-12-31,2016-03-31,2024-03-31,"in","Yes",2017-03-31,2017-06-07,"8 Year",NA,"Yes","Yes",974,48.7,"Yes","No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"284","MILL VALLEY","Marin County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"285","MILLBRAE","San Mateo County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","Yes","Yes","Yes",1
"286","MILPITAS","Santa Clara County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"287","MISSION VIEJO","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"288","MODESTO","Stanislaus County","Stanislaus Council of Governments ",2014-01-01,2023-09-30,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year","Yes","Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"289","MODOC COUNTY","Modoc County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","No",1
"290","MONO COUNTY","Mono County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"291","MONROVIA","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"292","MONTAGUE","Siskiyou County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","Yes","Yes",1
"293","MONTCLAIR","San Bernardino County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"294","MONTE SERENO","Santa Clara County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in - conditional","Yes",NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"295","MONTEBELLO","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"out (draft)",NA,NA,NA,"8 year","Yes","Yes","Yes",147,7.4,NA,"Yes",430,41,NA,NA,"No","No","No","No","No","No",0
"296","MONTEREY","Monterey County","AMBAG",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","No","No","Yes","Yes","Yes","Yes",1
"297","MONTEREY COUNTY","Monterey County","AMBAG",2014-01-01,2023-12-31,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"298","MONTEREY PARK","Los Angeles County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","Yes","Yes",1
"299","MOORPARK","Ventura County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"300","MORAGA","Contra Costa County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"301","MORENO VALLEY","Riverside County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"302","MORGAN HILL","Santa Clara County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"303","MORRO BAY","San Luis Obispo County","SLOCOG",2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","Yes",1
"304","MOUNT SHASTA","Siskiyou County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","No","No","No","No",1
"305","MOUNTAIN VIEW","Santa Clara County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"306","MURRIETA","Riverside County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"307","NAPA","Napa County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"308","NAPA COUNTY","Napa County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"309","NATIONAL CITY","San Diego County","SANDAG",2010-01-01,2020-12-31,2013-04-30,2021-04-30,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"310","NEEDLES","San Bernardino County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"out (due)",NA,NA,NA,"8 year","Yes","Unknown","Unknown",NA,NA,NA,"Unknown",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",0
"311","NEVADA CITY","Nevada County","Sierra Planning Organization",2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","Yes",1
"312","NEVADA COUNTY","Nevada County","Sierra Planning Organization",2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in","Yes",2015-06-30,2018-10-12,"5 Year",NA,"Yes","Yes",699,43.7,"Yes","No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"313","NEWARK","Alameda County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"314","NEWMAN","Stanislaus County","Stanislaus Council of Governments ",2014-01-01,2023-09-30,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 year",NA,"Yes","No",NA,NA,NA,"Yes",305,9,"No",NA,"No","No","No","No","No","No",1
"315","NEWPORT BEACH","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
